Title,Chapters,Update Frequency,Readers,Reviews,Last Updated,Genres,Description,Source
Reincarnated as the Lady of the Monsters,11,5,0,0,2025-06-14,"['Comedy', 'Fantasy', 'Romance', 'Slice of Life']","Bright, pure, and full of vitality!",https://www.novelupdates.com/series/reincarnated-as-the-lady-of-the-monsters/
Cultivation: Being Immortal,469,0,374,5,2025-06-14,"['Action', 'Adventure', 'Fantasy', 'Mystery', 'Xuanhuan']",Lin Jiang travels through the world of cultivation and obtains the Lifespan Check-in System.,https://www.novelupdates.com/series/cultivation-being-immortal/
"At The Beginning Of The Novel, The Villain Forced The Protagonist’s Step-Mom To Bear His Children",285,0,856,3,2025-06-14,"['Adult', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Mature', 'Romance']","Transmigrating, he possessed billions in assets, started with a sexy and charming wife, and had seven daughters, each more stunning than the last.",https://www.novelupdates.com/series/at-the-beginning-of-the-novel-the-villain-forced-the-protagonists-step-mom-to-bear-his-children/
My Romance Dating Simulator,163,0,268,2,2025-06-14,"['Drama', 'Fantasy', 'Harem', 'Mystery', 'Romance', 'Slice of Life', 'Supernatural']",[Love Triangle + Chasing Husband to Crematorium + Simulator + No ab*se No Flattery],https://www.novelupdates.com/series/my-romance-dating-simulator/
You Hidden in My Heart,178,6,592,2,2025-06-14,"['Drama', 'Josei', 'Romance', 'School Life', 'Slice of Life']","When she was in high school, Li Xining had a bad impression of Lu Yuling. It wasn’t until the third year of high school that",https://www.novelupdates.com/series/you-hidden-in-my-heart/
Heartbeat Game Guide,62,0,62,0,2025-06-14,"['Adult', 'Romance']","Song Yi knows that Chi Zhao’s heart is hollow and transparent. He is purer and cleaner than anyone else, but he has never opened up to anyone. If their relationship were judged by a gaming difficulty level, progressing further with Chi Zhao would undoubtedly be “Hell Mode.”",https://www.novelupdates.com/series/heartbeat-game-guide/
20XX Love,7,5,169,0,2025-06-14,"['Adult', 'Harem', 'Psychological', 'Smut', 'Yaoi']","The K814 team, composed of two Guides and five Espers. While struggling day by day, fighting in a severed spacetime, the A-rank Guide Han Seungmin dies, leaving only the C-rank Guide Seo Jungin. To save the five Espers, mucosal guiding is the only means available…",https://www.novelupdates.com/series/20xx-love/
I Met a S**y Girl at a Convenience Store and We Developed a L**d Relationship,14,3,87,0,2025-06-14,"['Adult', 'Ecchi', 'Mature', 'Romance']",“Miya… I’m Yoshi Miyabi. What’s Onii-chan’s name?”,https://www.novelupdates.com/series/i-met-a-sy-girl-at-a-convenience-store-and-we-developed-a-ld-relationship/
The Book of Misunderstanding,42,2,427,1,2025-06-14,"['Adult', 'Psychological', 'Romance', 'Smut', 'Yaoi']",※ Please note that this work contains sensitive descriptions and narratives including domestic violence and trauma.,https://www.novelupdates.com/series/the-book-of-misunderstanding/
Waiting for the Cicada’s Fall,158,1,130,0,2025-06-14,"['Action', 'Adult', 'Josei', 'Mystery', 'Romance', 'Slice of Life']","Seven years ago, Detective Li Jincheng mysteriously disappeared in an urban village late one night. Chen Pu, Li Jincheng’s closest friend, has spent the past seven years searching for him. In his pursuit, Chen Pu has avoided relationships, denied himself pleasures, rejected promotions, and refused to leave the urban village.",https://www.novelupdates.com/series/waiting-for-the-cicadas-fall/
The Payment Attitude in This World Is Bad,15,1,39,0,2025-06-14,"['Action', 'Adventure', 'Fantasy']","This world doesn't have truck protests, but siege tank protests.",https://www.novelupdates.com/series/the-payment-attitude-in-this-world-is-bad/
"Can Lifespan Be Exchanged for Treasures? With Infinite Lifespan, I Became Invincible",27,0,55,0,2025-06-14,"['Action', 'Adventure', 'Fantasy', 'Mature', 'Xianxia']","Lu Qing'an accidentally stepped on an ant and discovered his lifespan increased by one day. Naturally cautious, after accumulating for ten thousand years, his lifespan was already so much that he couldn't possibly use it all. However, in the mortal realm, no matter how much lifespan he had, it seemed to have no great use. As soon as he finished complaining like this, suddenly, a female immortal descended and forcibly abducted him to the Immortal Realm. Then he unexpectedly discovered that the Immortal Realm actually valued lifespan extremely, and lifespan could almost be used as money!",https://www.novelupdates.com/series/can-lifespan-be-exchanged-for-treasures-with-infinite-lifespan-i-became-invincible/
The Demon Prince’s Redemption,129,2,188,0,2025-06-14,"['Fantasy', 'Harem', 'Supernatural']","The collapse of the world began suddenly. Amidst the collapsing world, Kamishiro Jun wished that if he were to be reborn, he would want to be loved by many and live happily, unlike in this life.",https://www.novelupdates.com/series/the-demon-princes-redemption/
The Real Young Master Became Popular in the Entertainment Industry Through Metaphysics,139,0,635,3,2025-06-14,"['Mystery', 'Romance', 'Shounen Ai', 'Supernatural']","Chi Qingzhou, a 38th tier actor, is actually a real young master of a wealthy family.",https://www.novelupdates.com/series/the-real-young-master-became-popular-in-the-entertainment-industry-through-metaphysics/
You’re Forcing Me to Become the Demon King!,15,0,46,0,2025-06-14,"['Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Romance']",Shane transmigrates to a world of swords and magic.,https://www.novelupdates.com/series/youre-forcing-me-to-become-the-demon-king/
How to Eat Melons While Strategizing the Villain?,63,4,1950,14,2025-06-14,"['Comedy', 'Drama', 'Fantasy', 'Romance']","Yu Keke is bound to a system after transmigrating into a book, demanding the redemption of the blackened villain.",https://www.novelupdates.com/series/how-to-eat-melons-while-strategizing-the-villain/
The Earth-san Has Leveled Up!,111,2,1300,5,2025-06-14,"['Adventure', 'Comedy', 'Fantasy', 'Slice of Life', 'Yuri']","As Earth-san leveled up, everyday life was dyed into fantasy.",https://www.novelupdates.com/series/the-earth-san-has-leveled-up/
The Grand Secretary’s Butcher Wife,9,2,64,0,2025-06-14,"['Comedy', 'Drama', 'Historical', 'Romance']","Jiang Chun wrote a ""beautiful, strong, tragic"" character and became famous in one go, finally about to make a fortune, but did not expect an accident to come and die with a whoosh.",https://www.novelupdates.com/series/the-grand-secretarys-butcher-wife/
The Jianghu is Full of Local Tyrants,205,1,751,0,2025-06-14,"['Comedy', 'Historical', 'Martial Arts', 'Romance', 'Shounen Ai', 'Wuxia']","Ever since he traveled to this world, Shen Qianling has been troubled by three things the most. The first is too many fans, the second is too many fans, and the third is too many fans.",https://www.novelupdates.com/series/the-jianghu-is-full-of-local-tyrants/
"Banishment is Fine: As a Genius Saint, I Can Shine Anywhere.",20,5,89,0,2025-06-14,"['Adventure', 'Fantasy', 'Mystery', 'Romance', 'Supernatural']",“What’s wrong with deciding your own path in life?,https://www.novelupdates.com/series/banishment-is-fine-as-a-genius-saint-i-can-shine-anywhere/
Absolute Regression,365,0,1590,32,2025-06-14,"['Action', 'Comedy', 'Martial Arts', 'Psychological', 'Wuxia']",“Send me to the past.”,https://www.novelupdates.com/series/absolute-regression/
Dating The Fallen Lord,111,2,377,1,2025-06-14,"['Fantasy', 'Horror', 'Mystery', 'Romance', 'Supernatural']",Gu Jiu is a delicate girl with a frail body—so weak that even lifting a brick leaves her breathless—yet she’s got quite the fiery temper for a young lady.,https://www.novelupdates.com/series/dating-the-fallen-lord/
Everyone Thinks I Have Princess Syndrome Ability,53,6,296,2,2025-06-14,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Supernatural']",Ye Hanshuang was an SSS-level host of the Quick Transmigration Female Supporting Character System.,https://www.novelupdates.com/series/everyone-thinks-i-have-princess-syndrome-ability/
March,189,1,1367,5,2025-06-14,"['Adult', 'Psychological', 'Romance', 'Smut', 'Tragedy', 'Yaoi']","Sehwa turned his head away as if he didn’t want to deal with them. It was an obvious provocation, an everyday occurrence, but just because he was used to it didn’t mean he didn’t care how they treated him. He knew they were doing it because they want to see him lose his temper, and he didn’t want to be swayed by their provocation, so he just let it slide.",https://www.novelupdates.com/series/march/
Bringing Good Luck to My Ex-Fiancé’s Uncle,135,2,332,5,2025-06-14,"['Adult', 'Drama', 'Romance']","She was the most renowned beauty in the capital. Her family fell from grace overnight, losing their titles and properties. The family her marriage was arranged with, guided by the palace, threw her to her fiancé's dying fifth uncle, who was infamous as the most despicable and half-dead man of the Great Ji dynasty. Once the fifth master breathed his last, she was to be buried with him to end it all.",https://www.novelupdates.com/series/bringing-good-luck-to-my-ex-fiances-uncle/
"Divine Maiden, Please Devour this Malevolent One",105,1,480,0,2025-06-14,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Gender Bender', 'Mature', 'Mystery', 'Romance', 'Yuri']","As the Terran Malevolence, Lord of Dead Lands, and Mother of Decay, Miss Bai Lianyue is currently utterly confused as she's pinned to the bed.",https://www.novelupdates.com/series/divine-maiden-please-devour-this-malevolent-one/
Invincible Sixth Prince,56,2,134,2,2025-06-14,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Harem', 'Martial Arts', 'Romance', 'Xianxia']","Yun Zheng transmigrated into the Great Qian Dynasty as the sixth prince. He didn’t fight for the throne, nor did he engage in palace intrigues. He just wanted to secure military power and be a carefree sixth prince! With military power in hand, the world is mine!",https://www.novelupdates.com/series/invincible-sixth-prince/
Delicate and Soft Beauty from Another World,52,7,437,3,2025-06-14,"['Adventure', 'Comedy', 'Fantasy', 'Romance', 'Supernatural']",Chuchu finds herself transported into a post-apocalyptic progression-style novel.,https://www.novelupdates.com/series/delicate-and-soft-beauty-from-another-world/
"Your Majesty, Please Let Me Go",3,0,0,0,2025-06-14,"['Drama', 'Fantasy', 'Romance', 'Tragedy']",A trophy. A tool for legitimizing bloodline.,https://www.novelupdates.com/series/your-majesty-please-let-me-go/
Cleared Out the Fortune: Married the Village Factory Director and Got Wildly Spoiled,1,1,29,0,2025-06-14,"['Drama', 'Romance']",Jiang Manman transmigrated into the novel “Spoiled in a Military Marriage: Coddled Daily by a Rough Husband in the '70s.”,https://www.novelupdates.com/series/cleared-out-the-fortune-married-the-village-factory-director-and-got-wildly-spoiled/
A Story of a Knight In A Ruined Fantasy World,25,93,1011,5,2025-06-14,"['Action', 'Adventure', 'Fantasy', 'Romance', 'Seinen']","A land polluted with poison, filled with cannibals and monsters. A world where society can only continue to exist inside “safe zones”. This is the",https://www.novelupdates.com/series/a-story-of-a-knight-in-a-ruined-fantasy-world/
I Ended Up Saving the Duke Who Was Meant to Die,63,5,528,0,2025-06-14,"['Adult', 'Drama', 'Fantasy', 'Romance', 'Smut']","Irene, a priestess belonging to the temple's secret organization.",https://www.novelupdates.com/series/i-ended-up-saving-the-duke-who-was-meant-to-die/
"Knock Knock– It’s Me, The Runaway Female Lead",3,0,0,0,2025-06-14,"['Adult', 'Fantasy', 'Romance', 'Smut']",I became a maid in a fearsome ducal household.,https://www.novelupdates.com/series/knock-knock-its-me-the-runaway-female-lead/
"After Time Stops, I Can Do Whatever I Want",26,1,266,1,2025-06-14,"['Drama', 'Fantasy', 'Horror', 'Shounen Ai', 'Supernatural']","When Lu Pingsha boarded the bus that night, it was just an ordinary commute home.",https://www.novelupdates.com/series/after-time-stops-i-can-do-whatever-i-want/
After Wearing the Same Clothes as My High-School Classmate on the Subway,45,4,215,1,2025-06-14,"['Romance', 'Slice of Life']",1.,https://www.novelupdates.com/series/after-wearing-the-same-clothes-as-my-high-school-classmate-on-the-subway/
Sonohi Sekai ga Kawatta,86,158,4214,14,2025-06-14,"['Adult', 'Comedy', 'Harem', 'Romance', 'School Life']","On that day, the world’s aesthetic sense on beauty and ugliness is suddenly reversed. Fujimura who used to be bullied and shunned due to his",https://www.novelupdates.com/series/sonohi-sekai-ga-kawatta/
Awakened the Worst Talent? My Clones Can Simulate Everything!,204,0,329,4,2025-06-14,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Shounen']",【Power Fantasy + Behind-the-Scenes Overlord + Epic!】,https://www.novelupdates.com/series/awakened-the-worst-talent-my-clones-can-simulate-everything/
Stealing the Male Lead’s White Moonlight (GL),73,2,383,3,2025-06-14,"['Drama', 'Romance', 'School Life', 'Supernatural', 'Yuri']",Shen Lihuan was absolutely against transmigrating into an urban harem novel she hadn't even finished reading.,https://www.novelupdates.com/series/stealing-the-male-leads-white-moonlight-gl/
The 1960s: I Have a Store,89,1,168,0,2025-06-14,"['Drama', 'Slice of Life']","Zhou Yimin transmigrated back to the 1960s. His father had gone to help a widow, and his grandparents were still in the countryside.",https://www.novelupdates.com/series/the-1960s-i-have-a-store/
"After Marrying the Top Alpha of a Wealthy Family, I Am Spoiled Rotten",4,0,0,0,2025-06-14,"['Adult', 'Drama', 'Fantasy', 'Psychological', 'Romance', 'Smut', 'Supernatural', 'Tragedy', 'Yaoi']","Wen Yan is a beta with a pseudo-heat period. When he went to Qing City to collect his brother's belongings, his heat period unexpectedly arrived early. His planned return had to be postponed, and Wen Yan booked a hotel room, but the staff mistakenly gave him the wrong room card.",https://www.novelupdates.com/series/after-marrying-the-top-alpha-of-a-wealthy-family-i-am-spoiled-rotten/
Are All Guides Usually Like This,10,1,219,0,2025-06-14,"['Adult', 'Romance', 'Smut', 'Yaoi']",There is no description for this,https://www.novelupdates.com/series/are-all-guides-usually-like-this/
Surviving as a Fox Beast in an Abusive Novel,28,1,1131,1,2025-06-14,"['Adult', 'Drama', 'Fantasy', 'Mature', 'Romance', 'Smut', 'Yaoi']",Dori found himself possessing a white fox in an abusive BL novel.,https://www.novelupdates.com/series/surviving-as-a-fox-beast-in-an-abusive-novel/
"Eight-Year-Old Child, Empties Scum Father’s Storeroom and Goes into Exile with Maternal Grandparents’ Family",24,0,59,0,2025-06-14,"['Drama', 'Historical', 'Supernatural']","Upon her rebirth, Chu Chunxi immediately faced the confiscation and exile of her maternal grandfather's family, General Jing's Residence.",https://www.novelupdates.com/series/eight-year-old-child-empties-scum-fathers-storeroom-and-goes-into-exile-with-maternal-grandparents-family/
First Love Parenting Report,5,0,41,0,2025-06-14,"['Adult', 'Drama', 'Romance', 'Yaoi']","Doyul texted in concern as soon as he learned that his longtime infatuation, Woohyun, had been involved in an accident. He was confused by the unexpectedly formal response he received.",https://www.novelupdates.com/series/first-love-parenting-report/
A Case of Transmigrating as a Sick Villain,206,3,2895,11,2025-06-14,"['Adult', 'Harem', 'Mature', 'Romance', 'Slice of Life', 'Yaoi']","""What did the doctor say?""",https://www.novelupdates.com/series/a-case-of-transmigrating-as-a-sick-villain/
The Returning Warrior’s Reverse World Life,54,1,200,0,2025-06-14,"['Fantasy', 'Harem']",I returned after 10 years.,https://www.novelupdates.com/series/the-returning-warriors-reverse-world-life/
"Second Life, I’m Dying soon",30,4,527,3,2025-06-14,"['Adult', 'Drama', 'Fantasy', 'Mature', 'Romance', 'Supernatural', 'Yaoi']",Cecil Adrian's short life ended in a cold prison cell.,https://www.novelupdates.com/series/second-life-im-dying-soon/
"After the Sickly Beauty Transmigrated Into a Book, He Married the Arrogant Crown Prince",12,11,509,2,2025-06-14,"['Adult', 'Fantasy', 'Romance', 'Smut', 'Yaoi']","Crown Prince Pei Ji is handsome, exceptionally talented, and aspires to conquer the Nine Continents. One day, he suddenly dreams that he will be stabbed through the heart by a breathtakingly beautiful and formidable young martial artist. Upon waking, he decides to eliminate this person to prevent future trouble.",https://www.novelupdates.com/series/after-the-sickly-beauty-transmigrated-into-a-book-he-married-the-arrogant-crown-prince/
I’m Trapped in a Bloody Reverse Harem Game,159,3,3208,6,2025-06-14,"['Adult', 'Drama', 'Fantasy', 'Harem', 'Mature', 'Romance', 'Smut']",I became a spy of the Holy Land and got caught in a love intrigue with the Empire’s men.,https://www.novelupdates.com/series/im-trapped-in-a-bloody-reverse-harem-game/
I Spread Internet Streaming in Another World,19,4,50,0,2025-06-14,"['Fantasy', 'Harem']",A fantasy world with no proper media… and no communication networks accessible to the public.,https://www.novelupdates.com/series/i-spread-internet-streaming-in-another-world/
Am I a Villainess?,42,1,283,0,2025-06-14,"['Fantasy', 'Gender Bender', 'Psychological', 'School Life', 'Yuri']",I became the villainess in the game.,https://www.novelupdates.com/series/am-i-a-villainess/
All People Change Classes: The Little Girl Rat King Wants to Farm,72,0,179,0,2025-06-14,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Gender Bender', 'Seinen']","Myriad realms invaded, countless Boundary Gates descended from the sky onto Blue Star, instantly causing countless disasters!",https://www.novelupdates.com/series/all-people-change-classes-the-little-girl-rat-king-wants-to-farm/
"I’m Still Practicing Martial Arts, But How Did My Daughter Become an Immortal?",97,1,133,0,2025-06-14,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Supernatural', 'Xianxia']","Lin Tian transmigrated to a martial arts world and picked up a daughter right after arriving, not knowing that she possessed a shocking secret—a dual soul within one body, with the other soul having an astonishing origin. For three years, they hid and wandered, enduring the coldness and warmth of the world. Lin Tian finally awakened the Attribute System, opening an extraordinary martial path. Congratulations on obtaining the attributes:",https://www.novelupdates.com/series/im-still-practicing-martial-arts-but-how-did-my-daughter-become-an-immortal/
Reborn in the ’80s as a Group Favorite Bigshot,188,0,229,0,2025-06-14,"['Historical', 'Romance', 'School Life', 'Slice of Life']",A big shot from a research institute in the apocalypse is reborn as a little village beauty in that era.,https://www.novelupdates.com/series/reborn-in-the-80s-as-a-group-favorite-bigshot/
"Research-Style Cultivation, Starting by Refusing to Be a Furnace",72,1,98,0,2025-06-14,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Mature', 'Mystery', 'Supernatural', 'Tragedy', 'Xuanhuan']","Wei Xing, having graduated with a Master's degree, accidentally transmigrates to another world. Unknowingly, he has already been marked as a cultivation cauldron, surrounded by danger. On one hand, he uses a modern scientific research mindset to explore cultivation; on the other hand, he uses spiritual power combined with item refining methods,",https://www.novelupdates.com/series/research-style-cultivation-starting-by-refusing-to-be-a-furnace/
Whispers of a Lonely City Beyond the Heavens,93,0,50,0,2025-06-14,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Xuanhuan']",The divine dragons startling transformation! This is what perpetually troubles His Majesty the Emperor.,https://www.novelupdates.com/series/whispers-of-a-lonely-city-beyond-the-heavens/
Why Did You Provoke the Fake Heiress? She Has a Powerful Family Spoiling Her!,113,0,315,0,2025-06-14,"['Romance', 'Supernatural']","Jiang Zao was the excess baggage fake heiress who came into the Xia Family when her mother remarried. Both she and the real heiress, Xia Chuwei, were reborn.",https://www.novelupdates.com/series/why-did-you-provoke-the-fake-heiress-she-has-a-powerful-family-spoiling-her/
A School Story with a Gender Reversal,62,1,373,0,2025-06-14,"['Action', 'Drama', 'Harem', 'School Life', 'Shounen']",I entered the world of the webtoon.,https://www.novelupdates.com/series/a-school-story-with-a-gender-reversal/
After Marriage,9,3,58,0,2025-06-14,"['Adult', 'Drama', 'Smut', 'Yuri']",There is no description for this,https://www.novelupdates.com/series/after-marriage-2/
Horn,4,11,62,0,2025-06-14,"['Adult', 'Fantasy', 'Yaoi']","The New Humanity looked no different from humans, except for one thing: their horns.",https://www.novelupdates.com/series/horn/
"You Chose Your White Moonlight, Why Are You Crying Now That I’m Gone?",25,1,51,0,2025-06-14,"['Drama', 'Romance', 'Tragedy']","On their third dating anniversary, He Hongshen mustered the courage to propose to Lu Can Shuang. But she rushed away after receiving a call about her bái yuèguāng (white moonlight) returning to China, leaving without even giving a yes or no.",https://www.novelupdates.com/series/you-chose-your-white-moonlight-why-are-you-crying-now-that-im-gone/
I Became the Villainous Sub-Male Lead’s Pet Bird,96,1,194,0,2025-06-14,"['Comedy', 'Fantasy', 'Romance']",I was reincarnated as a pathetic bird destined to die at the hands of the villainous sub-male lead.,https://www.novelupdates.com/series/i-became-the-villainous-sub-male-leads-pet-bird/
I Became a Manly Man Who Appealed to Others,9,1,68,0,2025-06-14,"['Adventure', 'Drama', 'Fantasy', 'Gender Bender']",I don't know why I was treated like this.,https://www.novelupdates.com/series/i-became-a-manly-man-who-appealed-to-others/
I Became the Yokai I Created,10,1,71,0,2025-06-14,"['Action', 'Adventure', 'Fantasy', 'Gender Bender', 'Historical']",Yokai inspired by Eastern monsters.,https://www.novelupdates.com/series/i-became-the-yokai-i-created/
Starlight Falls,3,36,60,0,2025-06-14,['Romance'],1.,https://www.novelupdates.com/series/starlight-falls/
The Grotesque Miss’s End Story,143,1,555,3,2025-06-14,"['Action', 'Horror', 'Mystery', 'Psychological', 'Supernatural', 'Yuri']",“My name is Luo Ling.”,https://www.novelupdates.com/series/the-grotesque-misss-end-story/
[Genshin] Nahida’s Older Sister,8,1,33,0,2025-06-14,"['Adventure', 'Gender Bender']",I couldn't stand to watch Nahida being imprisoned for 500 years.,https://www.novelupdates.com/series/genshin-nahidas-older-sister/
I Became a Human Rights Character. [Part 2],8,1,38,0,2025-06-14,"['Drama', 'Fantasy', 'Harem', 'Slice of Life']",No Attribute ★★★★ – Lee Sihyuk,https://www.novelupdates.com/series/i-became-a-human-rights-character-part-2/
[Blue Archive] Died in Front of Hoshino,12,1,70,0,2025-06-14,"['Action', 'Adventure', 'Drama', 'Gender Bender', 'Tragedy']",And then he came back to life.,https://www.novelupdates.com/series/blue-archive-died-in-front-of-hoshino/
I Became an Extra Who Dies in Place of the Protagonist,13,1,66,0,2025-06-14,"['Adventure', 'Drama', 'Fantasy', 'School Life']",I realized too late that this world was inside a novel. I took on the chronic illness of the protagonist’s fiancée and died in her,https://www.novelupdates.com/series/i-became-an-extra-who-dies-in-place-of-the-protagonist/
I Ran Away From Exile and It Turned Out to Be a Regret,22,1,74,0,2025-06-14,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Harem', 'School Life']",After suffering through exile and finally returning.,https://www.novelupdates.com/series/i-ran-away-from-exile-and-it-turned-out-to-be-a-regret/
The Last Witch Goes to the Academy,16,1,110,0,2025-06-14,"['Action', 'Adventure', 'Fantasy', 'Gender Bender', 'Mystery', 'Psychological']","In a world where witchcraft has been wiped out by witch hunts,",https://www.novelupdates.com/series/the-last-witch-goes-to-the-academy/
You Are on EX Difficulty,18,1,115,0,2025-06-14,"['Action', 'Adventure', 'Fantasy', 'Gender Bender', 'Mystery']","In an era where monsters from games appear in reality, you have become the strongest player in a world that was deemed unconquerable.",https://www.novelupdates.com/series/you-are-on-ex-difficulty/
I’m Not a Pitiful Person,18,1,88,0,2025-06-14,"['Action', 'Adventure', 'Fantasy', 'Gender Bender', 'Mystery']",I woke up and my eyes and an arm were gone.,https://www.novelupdates.com/series/im-not-a-pitiful-person/
I Became the Youngest Daughter of a Villainous Family,18,1,147,0,2025-06-14,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Gender Bender', 'Mystery', 'Romance', 'Slice of Life']","""Strategy? Strategy!? Strategy!!!""",https://www.novelupdates.com/series/i-became-the-youngest-daughter-of-a-villainous-family/
[Lobotomy] It’s an Abnormality…,10,2,98,0,2025-06-14,"['Adventure', 'Fantasy', 'Gender Bender', 'Sci-fi']",I woke up after drinking and found myself in a place I've never seen before.,https://www.novelupdates.com/series/lobotomy-its-an-abnormality/
The Transmigrator’s Family Has a Son-in-Law,164,3,2355,12,2025-06-14,"['Action', 'Adventure', 'Shounen Ai', 'Xianxia']","Feng Ming was reborn in a different world with his memories. His biological father was a famous cultivator in Qingyun City who ran the large Feng family. As his father’s only... ger, Feng Ming enjoyed all the love. Even if his cultivation aptitude wasn’t that good, he felt that this life would be a life of lying down and winning. He could even accept the possibility of laying eggs in the future.",https://www.novelupdates.com/series/the-transmigrators-family-has-a-son-in-law/
Little Snow Leopard is Farming in the Beast World,131,3,1166,4,2025-06-14,"['Adventure', 'Fantasy', 'Romance', 'Shounen Ai', 'Slice of Life']",Qi Bai traveled to the beastmen world and became a marginalized snow leopard.,https://www.novelupdates.com/series/little-snow-leopard-is-farming-in-the-beast-world/
"Adopting the Empress Before She Turns Evil, to Raise Her as a Villain",1082,0,495,5,2025-06-14,"['Action', 'Drama', 'Fantasy', 'Martial Arts', 'Romance', 'Xianxia']","During the process of besieging the demon empress, Ning Wuxie, a disciple of the Human Sect, died to protect the contemporary Human Emperor.",https://www.novelupdates.com/series/adopting-the-empress-before-she-turns-evil-to-raise-her-as-a-villain/
[Snail] – A Cargo-Passenger Ship Operation Log,30,6,175,0,2025-06-14,"['Adventure', 'Comedy', 'Gender Bender', 'Sci-fi', 'Shounen', 'Slice of Life']",“Our motto is safety and reliability... or at least it’s supposed to be!?”,https://www.novelupdates.com/series/snail-a-cargo-passenger-ship-operation-log/
Who Killed the Hero? (LN),61,13,475,0,2025-06-14,"['Action', 'Fantasy', 'Mystery', 'Tragedy']",Who Killed the Hero?,https://www.novelupdates.com/series/who-killed-the-hero-ln/
I Became a Swordsmanship Instructor at the Academy,18,3,184,1,2025-06-14,"['Fantasy', 'Harem', 'School Life']","The unexpected fortune that came to me after death was quite ironic, given the misfortune that plagued my life. When I asked the King of the Underworld to let me live in the world of a novel, I never expected it to actually happen! The protagonist of the novel is a third-generation chaebol heir and a troublemaker at a hunter academy. But something about my reincarnation feels… off.",https://www.novelupdates.com/series/i-became-a-swordsmanship-instructor-at-the-academy/
"I Told You, I’m Not Going to Be a Vtuber!",94,1,235,1,2025-06-14,"['Drama', 'Fantasy', 'Gender Bender']","Terminally ill Seo Joyeon is transported ten years into the past and transformed into a young girl, Seo Sua.",https://www.novelupdates.com/series/i-told-you-im-not-going-to-be-a-vtuber/
The Mermaid’s Tale,24,3,136,0,2025-06-14,"['Adult', 'Drama', 'Fantasy', 'Mature', 'Mystery', 'Romance', 'Smut']",“Don’t fall in love. It will only bring you misery.”,https://www.novelupdates.com/series/the-mermaids-tale/
Not All Heroes From Earth Are Bad,176,1,1276,4,2025-06-14,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Martial Arts', 'Shounen']","Choi Hyun-seok, a heavyweight champion of the biggest mixed martial arts league on Earth and the one who was called the strongest had died.",https://www.novelupdates.com/series/not-all-heroes-from-earth-are-bad/
Nectar,45,6,132,0,2025-06-14,"['Drama', 'Mature', 'Romance', 'Smut']","“Why don’t you pray to me instead? I’m much more merciful than your god, who wouldn’t even listen no matter how much you fiddle and pray.”",https://www.novelupdates.com/series/nectar/
Atlas of Heaven and Earth,406,0,106,2,2025-06-14,"['Action', 'Martial Arts', 'Xianxia']","If human life could continue to grow stronger indefinitely, reaching infinite heights, then one day it might connect with the heavens!",https://www.novelupdates.com/series/atlas-of-heaven-and-earth/
Cannon Fodder Female Lead’s Online Counterattack,102,0,148,1,2025-06-14,"['Drama', 'Romance', 'Slice of Life', 'Tragedy']",【Rebirth 1v1 Romance + Revenge on s*um + Koi Space】,https://www.novelupdates.com/series/cannon-fodder-female-leads-online-counterattack/
Conquering the Ultimate Challenge,279,0,116,0,2025-06-14,"['Drama', 'Fantasy', 'Romance', 'Slice of Life']",Fighting against s*umbags?,https://www.novelupdates.com/series/conquering-the-ultimate-challenge/
Daily Life of a Domineering CEO with a Baby,96,1,130,1,2025-06-14,"['Drama', 'Romance', 'Slice of Life']","Song Tan won the Grand Slam of the three Golden Globes and became the youngest and most valuable powerful actress in film history. Five years ago, she suddenly disappeared from the entertainment circle, and speculation continued.",https://www.novelupdates.com/series/daily-life-of-a-domineering-ceo-with-a-baby/
Elder Sister Resentment Syndrome,97,1,130,1,2025-06-14,"['Drama', 'Mature', 'Romance', 'Slice of Life']",Synopsis:,https://www.novelupdates.com/series/elder-sister-resentment-syndrome/
Forced to Become a Fan Girl,182,0,259,1,2025-06-14,"['Comedy', 'Drama', 'Slice of Life']","Zhou Xiao, accidentally bound by the fandom photographer system, ties her fate to Ji Shao, a trainee participating in the survival show “Star Road 101.” While completing her tasks, she gains recognition in the industry and precious friendships through her stunning photos and fan support. As she discovers the charm of photography, Zhou Xiao no longer confines herself to the role of a fandom photographer. While fulfilling her main quest, she also carves out her own career path. Standing at the forefront of short video trends, she seizes the opportunity and achieves success.",https://www.novelupdates.com/series/forced-to-become-a-fan-girl/
Game of Thrones,404,0,96,1,2025-06-14,"['Action', 'Harem', 'Romance', 'Xuanhuan']","The dynasty is crumbling, order is not yet established, the chessboard of vying for power has long been set up, with beauties smiling enchantingly among the pieces, and generals leaving behind countless bones.",https://www.novelupdates.com/series/game-of-thrones/
